Path;File;Number of lines;Changed Lines;Lines added;Lines removed;Number of contributers;Number of contributions;Number of fixes;Number of non fixes
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\persister\entity\AbstractEntityPersister.java;AbstractEntityPersister.java;5954;940;638;302;7;44;11;33
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\model\source\internal\hbm\ModelBinder.java;ModelBinder.java;4280;540;229;311;6;14;1;13
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\SessionImpl.java;SessionImpl.java;3797;1400;635;765;8;52;2;50
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\AnnotationBinder.java;AnnotationBinder.java;3585;380;251;129;5;13;1;12
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\annotations\reflection\JPAOverriddenAnnotationReader.java;JPAOverriddenAnnotationReader.java;3079;181;97;84;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\Dialect.java;Dialect.java;3051;187;120;67;4;9;1;8
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\loader\Loader.java;Loader.java;3008;267;193;74;3;12;1;11
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\util\collections\BoundedConcurrentHashMap.java;BoundedConcurrentHashMap.java;2472;6;2;4;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\internal\InFlightMetadataCollectorImpl.java;InFlightMetadataCollectorImpl.java;2334;374;205;169;4;15;1;14
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\persister\collection\AbstractCollectionPersister.java;AbstractCollectionPersister.java;2277;135;78;57;4;10;0;10
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\internal\StatefulPersistenceContext.java;StatefulPersistenceContext.java;2198;614;387;227;5;23;1;22
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\AvailableSettings.java;AvailableSettings.java;2078;321;290;31;7;28;1;27
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\CoreMessageLogger.java;CoreMessageLogger.java;1879;176;135;41;6;31;2;29
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\annotations\CollectionBinder.java;CollectionBinder.java;1819;253;167;86;5;9;0;9
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\query\internal\AbstractProducedQuery.java;AbstractProducedQuery.java;1681;156;83;73;8;18;3;15
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\SessionFactoryImpl.java;SessionFactoryImpl.java;1677;370;213;157;3;24;0;24
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\AbstractHANADialect.java;AbstractHANADialect.java;1666;314;211;103;5;21;3;18
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\Query.java;Query.java;1622;113;107;6;2;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\HqlSqlWalker.java;HqlSqlWalker.java;1487;16;10;6;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\internal\SessionFactoryOptionsBuilder.java;SessionFactoryOptionsBuilder.java;1381;1583;1482;101;5;22;1;21
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\classic\QueryTranslatorImpl.java;QueryTranslatorImpl.java;1376;41;26;15;4;7;0;7
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\collection\internal\AbstractPersistentCollection.java;AbstractPersistentCollection.java;1362;173;121;52;4;10;1;9
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\spi\ActionQueue.java;ActionQueue.java;1362;308;184;124;4;11;3;8
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\annotations\EntityBinder.java;EntityBinder.java;1329;70;32;38;3;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\spi\SessionDelegatorBaseImpl.java;SessionDelegatorBaseImpl.java;1237;40;34;6;4;7;1;6
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\AbstractSharedSessionContract.java;AbstractSharedSessionContract.java;1221;456;291;165;8;25;1;24
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\Session.java;Session.java;1184;51;39;12;4;7;3;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\BinderHelper.java;BinderHelper.java;1144;51;27;24;3;6;2;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\query\Query.java;Query.java;1142;95;57;38;4;6;0;6
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\persister\entity\JoinedSubclassEntityPersister.java;JoinedSubclassEntityPersister.java;1127;138;69;69;4;8;2;6
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\configuration\internal\metadata\CollectionMetadataGenerator.java;CollectionMetadataGenerator.java;1117;92;64;28;3;7;3;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\metamodel\internal\AttributeFactory.java;AttributeFactory.java;1073;289;144;145;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\jpa\boot\internal\EntityManagerFactoryBuilderImpl.java;EntityManagerFactoryBuilderImpl.java;1054;110;76;34;3;6;1;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\tuple\entity\EntityMetamodel.java;EntityMetamodel.java;1048;205;74;131;3;7;1;6
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\mapping\PersistentClass.java;PersistentClass.java;1011;36;18;18;3;4;1;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\stat\internal\StatisticsImpl.java;StatisticsImpl.java;992;760;409;351;4;12;1;11
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\Ejb3JoinColumn.java;Ejb3JoinColumn.java;985;10;3;7;1;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\internal\MetadataBuilderImpl.java;MetadataBuilderImpl.java;942;391;168;223;2;6;0;6
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\spi\PersistenceContext.java;PersistenceContext.java;935;253;154;99;3;5;0;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\tool\schema\extract\internal\InformationExtractorJdbcDatabaseMetaDataImpl.java;InformationExtractorJdbcDatabaseMetaDataImpl.java;927;18;11;7;2;4;1;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\loader\plan\build\internal\AbstractLoadPlanBuildingAssociationVisitationStrategy.java;AbstractLoadPlanBuildingAssociationVisitationStrategy.java;922;4;0;4;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\procedure\internal\ProcedureCallImpl.java;ProcedureCallImpl.java;921;6;2;4;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\mapping\Table.java;Table.java;913;37;12;25;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\type\CollectionType.java;CollectionType.java;889;166;113;53;6;14;3;11
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\util\StringHelper.java;StringHelper.java;863;354;177;177;5;19;2;17
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\Configuration.java;Configuration.java;861;2;0;2;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\query\criteria\internal\compile\CriteriaQueryTypeQueryAdapter.java;CriteriaQueryTypeQueryAdapter.java;860;177;99;78;3;5;2;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\persister\entity\SingleTableEntityPersister.java;SingleTableEntityPersister.java;850;46;22;24;3;5;0;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\type\ComponentType.java;ComponentType.java;849;13;10;3;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\persister\entity\EntityPersister.java;EntityPersister.java;842;47;38;9;3;4;1;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\metamodel\internal\MetamodelImpl.java;MetamodelImpl.java;842;490;310;180;4;17;1;16
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\query\internal\NativeQueryImpl.java;NativeQueryImpl.java;839;23;19;4;3;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\mapping\SimpleValue.java;SimpleValue.java;828;175;118;57;3;9;1;8
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\tree\DotNode.java;DotNode.java;824;137;98;39;4;6;1;5
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\configuration\internal\metadata\reader\AuditedPropertiesReader.java;AuditedPropertiesReader.java;823;90;53;37;2;3;1;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\annotations\TableBinder.java;TableBinder.java;817;15;2;13;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\configuration\internal\metadata\AuditMetadataGenerator.java;AuditMetadataGenerator.java;812;63;15;48;2;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\Ejb3Column.java;Ejb3Column.java;783;17;12;5;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\sql\Template.java;Template.java;777;12;11;1;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\SessionFactoryBuilder.java;SessionFactoryBuilder.java;772;28;20;8;1;5;0;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\Oracle8iDialect.java;Oracle8iDialect.java;769;25;17;8;2;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\type\EntityType.java;EntityType.java;768;95;76;19;5;10;0;10
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\tuple\entity\AbstractEntityTuplizer.java;AbstractEntityTuplizer.java;761;64;39;25;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\StatelessSessionImpl.java;StatelessSessionImpl.java;749;136;104;32;3;7;0;7
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\loader\plan\exec\internal\LoadQueryJoinAndFetchProcessor.java;LoadQueryJoinAndFetchProcessor.java;742;214;119;95;3;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\criterion\Property.java;Property.java;741;24;12;12;1;1;1;0
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\bytecode\enhance\internal\javassist\PersistentAttributesEnhancer.java;PersistentAttributesEnhancer.java;740;7;5;2;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\event\internal\DefaultFlushEntityEventListener.java;DefaultFlushEntityEventListener.java;731;148;98;50;5;10;0;10
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\tree\FromElement.java;FromElement.java;730;70;38;32;5;10;2;8
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\CriteriaImpl.java;CriteriaImpl.java;730;2;1;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\tree\FromElementType.java;FromElementType.java;729;81;58;23;5;5;0;5
