Package;Complexity;Number of statements;Number of classes;Number of abstract classes;Number of interfaces;Number of enums;Number of types;Number of methods;Average complexity by class;Average complexity by method;Project;Path
de.bsmgmbh.service;545;976;65;4;2;4;75;310;7,27;1,76;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\service
de.bsmgmbh.service.batch.step.processor;314;391;22;2;0;1;25;59;12,56;5,32;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\service\batch\step\processor
de.bsmgmbh.persistence.rest;198;194;20;4;2;2;28;117;7,07;1,69;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\rest
de.bsmgmbh.service.batch.config;185;433;20;0;1;3;24;193;7,71;0,96;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\service\batch\config
de.bsmgmbh.service.batch.config.step;179;309;15;0;1;3;19;127;9,42;1,41;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\service\batch\config\step
de.bsmgmbh.service.batch.step.processor.counterparty;118;147;11;0;0;0;11;22;10,73;5,36;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\service\batch\step\processor\counterparty
de.bsmgmbh.util;84;169;19;0;0;4;23;50;3,65;1,68;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\util
de.bsmgmbh.service.batch.step.processor.transaction;79;88;2;0;0;0;2;4;39,5;19,75;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\service\batch\step\processor\transaction
de.bsmgmbh.persistence.dao;50;640;83;1;16;0;100;211;0,5;0,24;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\dao
de.bsmgmbh.util.db;48;24;4;0;0;0;4;13;12,0;3,69;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\util\db
de.bsmgmbh.persistence.rest.credit;48;14;1;0;0;0;1;6;48,0;8,0;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\rest\credit
de.bsmgmbh.common;48;54;7;0;1;3;11;39;4,36;1,23;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\common
de.bsmgmbh.persistence.rest.counterparty;43;28;4;0;0;0;4;19;10,75;2,26;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\rest\counterparty
de.bsmgmbh.service.impl;39;47;4;0;0;0;4;12;9,75;3,25;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\service\impl
de.bsmgmbh.model;35;40;47;0;0;0;47;8;0,74;4,38;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\model
de.bsmgmbh.service.batch.step.processor.collateral;29;49;4;0;0;0;4;8;7,25;3,62;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\service\batch\step\processor\collateral
de.bsmgmbh.persistence.rest.collateral;29;19;2;1;0;0;3;11;9,67;2,64;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\rest\collateral
de.bsmgmbh.service.batch.step.processor.accounting;29;38;2;0;0;0;2;4;14,5;7,25;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\service\batch\step\processor\accounting
de.bsmgmbh.persistence.dao.impl;28;302;20;1;0;0;21;81;1,33;0,35;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\dao\impl
de.bsmgmbh.service.batch.step.processor.credit;24;21;1;0;0;0;1;2;24,0;12,0;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\service\batch\step\processor\credit
de.bsmgmbh.persistence.rest.accounting;20;5;1;0;0;0;1;4;20,0;5,0;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\rest\accounting
de.bsmgmbh.service.batch.config.step.EGP2BAIS;18;129;5;0;0;1;6;53;3,0;0,34;EGPAdapterCore;E:\workspace\regrep-bais-interface\EGPAdapterCore\src\main\java\de\bsmgmbh\service\batch\config\step\EGP2BAIS
